Tempo,Temperatura,Amostra,setpoint,duty,y_controller,pwm
2.61,23.95,0,65.0,6,4.45,16
3.62,23.95,1,65.0,6,4.93,16
4.61,23.95,2,65.0,7,5.41,19
5.62,24.44,3,65.0,7,5.83,19
6.61,23.95,4,65.0,8,6.36,22
7.62,23.95,5,65.0,8,6.84,22
8.61,24.44,6,65.0,9,7.26,24
9.62,24.44,7,65.0,9,7.73,24
10.63,23.95,8,65.0,10,8.26,27
11.62,23.95,9,65.0,10,8.74,27
12.63,24.44,10,65.0,11,9.16,30
13.63,23.95,11,65.0,11,9.69,30
14.63,23.95,12,65.0,12,10.17,33
15.63,23.95,13,65.0,12,10.65,33
16.64,23.95,14,65.0,14,11.13,36
17.63,24.44,15,65.0,14,11.55,36
18.64,23.95,16,65.0,14,12.08,38
19.63,23.95,17,65.0,14,12.55,38
20.64,23.95,18,65.0,16,13.03,41
21.63,23.95,19,65.0,16,13.51,41
22.64,23.95,20,65.0,16,13.99,41
23.63,23.95,21,65.0,17,14.47,44
24.64,23.95,22,65.0,17,14.95,44
25.63,23.95,23,65.0,18,15.42,47
26.64,23.95,24,65.0,18,15.9,47
27.65,23.95,25,65.0,19,16.38,49
28.64,23.95,26,65.0,19,16.86,49
29.65,23.95,27,65.0,20,17.34,52
30.65,24.93,28,65.0,20,17.7,52
31.65,23.95,29,65.0,21,18.28,55
32.65,23.95,30,65.0,21,18.76,55
33.66,23.95,31,65.0,22,19.24,58
34.65,23.95,32,65.0,22,19.72,58
35.66,23.95,33,65.0,23,20.2,60
36.65,23.95,34,65.0,23,20.67,60
37.66,23.95,35,65.0,24,21.15,63
38.65,24.44,36,65.0,24,21.57,63
39.66,23.95,37,65.0,25,22.1,66
40.66,23.95,38,65.0,25,22.58,66
41.67,23.95,39,65.0,27,23.06,69
42.66,24.44,40,65.0,27,23.48,69
43.67,24.93,41,65.0,27,23.89,69
44.66,23.95,42,65.0,28,24.48,72
45.67,24.44,43,65.0,28,24.9,72
46.67,23.95,44,65.0,29,25.43,74
47.67,23.95,45,65.0,29,25.91,74
48.67,24.44,46,65.0,30,26.33,77
49.68,23.95,47,65.0,30,26.86,77
50.69,24.44,48,65.0,31,27.28,80
51.68,24.44,49,65.0,31,27.75,80
52.69,24.44,50,65.0,32,28.22,83
53.68,24.44,51,65.0,32,28.69,83
54.69,24.44,52,65.0,33,29.17,85
55.69,24.44,53,65.0,33,29.64,85
56.7,24.44,54,65.0,34,30.11,88
57.69,24.44,55,65.0,34,30.58,88
58.7,24.44,56,65.0,35,31.06,91
59.69,24.44,57,65.0,35,31.53,91
60.7,24.93,58,65.0,35,31.94,91
61.7,24.44,59,65.0,36,32.47,94
62.7,24.44,60,65.0,36,32.94,94
63.7,24.44,61,65.0,38,33.41,97
64.71,24.93,62,65.0,38,33.83,97
65.7,24.44,63,65.0,38,34.35,99
66.71,24.93,64,65.0,38,34.77,99
67.7,24.93,65,65.0,40,35.23,102
68.71,24.93,66,65.0,40,35.7,102
69.72,24.93,67,65.0,41,36.17,105
70.72,24.93,68,65.0,41,36.63,105
71.72,24.93,69,65.0,42,37.1,108
72.72,24.93,70,65.0,42,37.57,108
73.73,24.93,71,65.0,43,38.03,110
74.72,25.42,72,65.0,43,38.44,110
75.73,25.42,73,65.0,43,38.9,110
76.72,25.42,74,65.0,44,39.37,113
77.73,25.42,75,65.0,44,39.83,113
78.73,25.42,76,65.0,45,40.29,116
79.74,25.42,77,65.0,45,40.75,116
80.73,25.42,78,65.0,46,41.21,119
81.74,25.42,79,65.0,46,41.67,119
82.73,25.42,80,65.0,47,42.13,121
83.74,25.42,81,65.0,47,42.59,121
84.73,25.9,82,65.0,47,43.0,121
85.74,25.9,83,65.0,48,43.45,124
86.74,25.9,84,65.0,48,43.91,124
87.75,25.9,85,65.0,49,44.36,127
88.75,25.9,86,65.0,49,44.82,127
89.75,25.9,87,65.0,50,45.27,130
90.76,26.39,88,65.0,50,45.67,130
91.75,26.39,89,65.0,52,46.12,133
92.76,26.39,90,65.0,52,46.57,133
93.75,26.39,91,65.0,52,47.02,135
94.76,26.39,92,65.0,52,47.47,135
95.75,26.88,93,65.0,52,47.86,135
96.76,26.88,94,65.0,54,48.3,138
97.76,26.88,95,65.0,54,48.75,138
98.77,26.88,96,65.0,55,49.19,141
99.76,26.88,97,65.0,55,49.64,141
100.77,26.88,98,65.0,56,50.08,144
101.76,27.37,99,65.0,56,50.47,144
102.77,26.39,100,65.0,57,51.02,146
103.76,27.37,101,65.0,57,51.35,146
104.77,27.37,102,65.0,57,51.79,146
105.78,27.37,103,65.0,58,52.23,149
106.77,27.37,104,65.0,58,52.67,149
107.78,27.86,105,65.0,59,53.05,152
108.78,27.86,106,65.0,59,53.48,152
109.79,27.86,107,65.0,59,53.91,152
110.78,27.86,108,65.0,60,54.35,155
111.79,28.35,109,65.0,60,54.72,155
112.78,27.86,110,65.0,61,55.21,157
113.79,28.35,111,65.0,61,55.58,157
114.78,28.35,112,65.0,62,56.01,160
115.79,28.35,113,65.0,62,56.43,160
116.79,28.84,114,65.0,62,56.8,160
117.79,28.84,115,65.0,63,57.22,163
118.79,28.84,116,65.0,63,57.65,163
119.8,29.33,117,65.0,65,58.01,166
120.79,28.84,118,65.0,65,58.48,166
121.8,28.84,119,65.0,65,58.9,166
122.79,29.33,120,65.0,66,59.27,169
123.8,29.33,121,65.0,66,59.68,169
124.81,29.33,122,65.0,67,60.1,171
125.8,29.81,123,65.0,67,60.45,171
126.81,30.3,124,65.0,67,60.81,171
127.81,29.81,125,65.0,68,61.27,174
128.81,30.3,126,65.0,68,61.62,174
129.81,30.3,127,65.0,69,62.02,177
130.82,30.3,128,65.0,69,62.43,177
131.81,30.3,129,65.0,69,62.83,177
132.82,30.79,130,65.0,70,63.18,180
133.81,30.79,131,65.0,70,63.58,180
134.82,30.79,132,65.0,70,63.97,180
135.81,30.79,133,65.0,71,64.37,182
136.82,31.28,134,65.0,71,64.71,182
137.82,31.77,135,65.0,72,65.05,185
138.82,31.28,136,65.0,72,65.49,185
139.82,31.28,137,65.0,72,65.89,185
140.83,31.28,138,65.0,73,66.28,188
141.82,31.77,139,65.0,73,66.61,188
142.83,31.77,140,65.0,73,67.0,188
143.84,32.26,141,65.0,74,67.33,191
144.83,32.26,142,65.0,74,67.71,191
145.84,32.26,143,65.0,76,68.09,194
146.83,32.75,144,65.0,76,68.41,194
147.84,32.75,145,65.0,76,68.79,194
148.83,33.24,146,65.0,76,69.11,196
149.84,32.75,147,65.0,76,69.54,196
150.84,33.24,148,65.0,76,69.85,196
151.84,33.24,149,65.0,78,70.22,199
152.84,33.24,150,65.0,78,70.59,199
153.85,33.72,151,65.0,78,70.9,199
154.84,33.72,152,65.0,79,71.27,202
155.85,33.72,153,65.0,79,71.63,202
156.84,33.72,154,65.0,79,72.0,202
157.85,34.21,155,65.0,80,72.3,205
158.84,34.21,156,65.0,80,72.66,205
159.85,34.21,157,65.0,81,73.02,207
160.85,34.7,158,65.0,81,73.32,207
161.85,34.7,159,65.0,81,73.67,207
162.86,35.19,160,65.0,81,73.97,207
163.86,35.19,161,65.0,82,74.31,210
164.87,35.19,162,65.0,82,74.66,210
165.86,35.68,163,65.0,82,74.95,210
166.87,35.68,164,65.0,83,75.29,213
167.86,36.17,165,65.0,83,75.57,213
168.87,35.68,166,65.0,83,75.97,213
169.86,36.17,167,65.0,84,76.25,216
170.87,36.66,168,65.0,84,76.53,216
171.86,36.66,169,65.0,84,76.86,216
172.87,36.66,170,65.0,85,77.19,218
173.87,37.15,171,65.0,85,77.46,218
174.87,37.15,172,65.0,85,77.79,218
175.87,37.15,173,65.0,86,78.11,221
176.88,37.63,174,65.0,86,78.38,221
177.87,37.63,175,65.0,86,78.7,221
178.88,37.63,176,65.0,87,79.01,224
179.87,37.63,177,65.0,87,79.33,224
180.88,38.12,178,65.0,87,79.59,224
181.89,38.12,179,65.0,87,79.91,224
182.88,38.61,180,65.0,89,80.16,227
183.89,38.61,181,65.0,89,80.47,227
184.88,39.1,182,65.0,89,80.72,227
185.89,39.1,183,65.0,90,81.02,230
186.89,39.1,184,65.0,90,81.32,230
187.89,39.1,185,65.0,90,81.62,230
188.89,39.59,186,65.0,90,81.86,230
189.9,39.59,187,65.0,90,82.16,232
190.89,39.59,188,65.0,90,82.46,232
191.9,40.08,189,65.0,90,82.69,232
192.89,40.08,190,65.0,90,82.98,232
193.9,40.57,191,65.0,92,83.22,235
194.89,40.57,192,65.0,92,83.5,235
195.9,40.57,193,65.0,92,83.79,235
196.89,41.06,194,65.0,93,84.01,238
197.9,40.57,195,65.0,93,84.35,238
198.9,41.54,196,65.0,93,84.52,238
199.91,41.54,197,65.0,93,84.79,238
200.91,41.54,198,65.0,94,85.06,241
201.91,42.03,199,65.0,94,85.28,241
202.92,42.03,200,65.0,94,85.54,241
203.91,42.52,201,65.0,94,85.75,241
204.92,42.52,202,65.0,95,86.02,243
205.91,42.52,203,65.0,95,86.28,243
206.92,43.01,204,65.0,95,86.48,243
207.91,43.01,205,65.0,95,86.74,243
208.92,43.5,206,65.0,95,86.93,243
209.91,43.5,207,65.0,96,87.18,246
210.92,43.5,208,65.0,96,87.43,246
211.92,43.99,209,65.0,96,87.63,246
212.92,43.99,210,65.0,96,87.87,246
213.92,44.48,211,65.0,97,88.06,249
214.93,44.97,212,65.0,97,88.24,249
215.92,44.48,213,65.0,97,88.53,249
216.93,44.48,214,65.0,97,88.77,249
217.92,44.97,215,65.0,97,88.95,249
218.93,45.45,216,65.0,98,89.12,252
219.94,45.94,217,65.0,98,89.29,252
220.93,45.45,218,65.0,98,89.57,252
221.94,45.94,219,65.0,98,89.74,252
222.93,45.94,220,65.0,98,89.96,252
223.94,46.43,221,65.0,100,90.13,255
224.93,46.43,222,65.0,100,90.34,255
225.94,46.43,223,65.0,100,90.56,255
226.94,46.92,224,65.0,100,90.72,255
227.95,46.92,225,65.0,100,90.93,255
228.94,47.41,226,65.0,100,91.08,255
229.95,47.41,227,65.0,100,91.29,255
230.94,47.41,228,65.0,100,91.49,255
231.95,47.9,229,65.0,100,91.64,255
232.94,47.9,230,65.0,100,91.84,255
233.95,48.39,231,65.0,100,91.98,255
234.96,48.39,232,65.0,100,92.17,255
235.95,48.88,233,65.0,100,92.31,255
236.96,48.39,234,65.0,100,92.55,255
237.95,48.88,235,65.0,100,92.69,255
