Tempo,Temperatura,Amostra,setpoint,duty,y_controller,pwm
0.97,21.8,0,15.0,100,4.37,0
2.97,21.8,1,15.0,100,4.38,0
4.97,21.8,2,15.0,100,4.38,0
6.97,21.8,3,15.0,100,4.38,0
8.97,21.8,4,15.0,100,4.38,0
10.97,21.8,5,15.0,100,4.39,0
12.97,21.8,6,15.0,100,4.39,0
14.97,21.9,7,15.0,100,4.45,0
16.97,22.0,8,15.0,100,4.51,0
18.97,22.0,9,15.0,100,4.51,0
20.97,22.0,10,15.0,100,4.52,0
22.97,22.1,11,15.0,100,4.58,0
24.97,22.2,12,15.0,100,4.64,0
26.97,22.3,13,15.0,100,4.69,0
28.97,22.3,14,15.0,100,4.69,0
30.97,22.3,15,15.0,100,4.69,0
32.97,22.4,16,15.0,100,4.75,0
34.97,22.5,17,15.0,100,4.8,0
36.97,22.5,18,15.0,100,4.8,0
38.97,22.5,19,15.0,100,4.79,0
40.97,22.6,20,15.0,100,4.85,0
42.97,22.6,21,15.0,100,4.84,0
44.97,22.6,22,15.0,100,4.84,0
46.97,22.6,23,15.0,100,4.84,0
48.97,22.7,24,15.0,100,4.89,0
50.97,22.7,25,15.0,100,4.89,0
52.97,22.7,26,15.0,100,4.88,0
54.97,22.7,27,15.0,100,4.88,0
56.97,22.7,28,15.0,100,4.87,0
58.97,22.6,29,15.0,100,4.81,0
60.97,22.6,30,15.0,100,4.81,0
62.97,22.6,31,15.0,100,4.81,0
64.97,22.6,32,15.0,100,4.81,0
66.97,22.5,33,15.0,100,4.74,0
68.97,22.5,34,15.0,100,4.75,0
70.97,22.5,35,15.0,100,4.75,0
72.97,22.5,36,15.0,100,4.75,0
74.97,22.5,37,15.0,100,4.75,0
76.97,22.5,38,15.0,100,4.75,0
78.97,22.5,39,15.0,100,4.75,0
80.97,22.5,40,15.0,100,4.75,0
82.97,22.5,41,15.0,100,4.75,0
84.97,22.4,42,15.0,100,4.69,0
86.97,22.4,43,15.0,100,4.7,0
88.97,22.4,44,15.0,100,4.7,0
90.97,22.4,45,15.0,100,4.7,0
92.97,22.4,46,15.0,100,4.71,0
94.97,22.4,47,15.0,100,4.71,0
96.97,22.4,48,15.0,100,4.71,0
98.97,22.4,49,15.0,100,4.72,0
100.97,22.4,50,15.0,100,4.72,0
102.97,22.4,51,15.0,100,4.72,0
104.97,22.4,52,15.0,100,4.73,0
106.97,22.4,53,15.0,100,4.73,0
108.97,22.4,54,15.0,100,4.73,0
110.97,22.4,55,15.0,100,4.74,0
112.97,22.4,56,15.0,100,4.74,0
114.97,22.4,57,15.0,100,4.74,0
116.97,22.4,58,15.0,100,4.75,0
118.97,22.4,59,15.0,100,4.75,0
120.97,22.4,60,15.0,100,4.75,0
122.97,22.4,61,15.0,100,4.76,0
124.97,22.4,62,15.0,100,4.76,0
126.97,22.4,63,15.0,100,4.76,0
128.97,22.4,64,15.0,100,4.77,0
