Tempo,Temperatura,Amostra,setpoint,duty,y_controller,pwm
5.57,20.4,0,20.0,25,-22.31,49152
11.58,20.4,1,19.5,21,0.96,51773
17.57,20.4,2,16.0,99,4.87,656
23.57,20.4,3,16.0,99,4.88,656
29.58,20.4,4,16.0,99,4.89,656
35.58,20.3,5,16.0,99,4.9,656
41.58,20.3,6,16.0,99,4.79,656
47.58,20.3,7,16.0,99,4.8,656
53.58,20.2,8,16.0,99,4.81,656
59.58,20.2,9,16.0,99,4.71,656
65.58,20.1,10,16.0,99,4.72,656
71.59,20.1,11,16.0,99,4.61,656
77.58,20.1,12,16.0,99,4.62,656
83.58,20.0,13,16.0,99,4.63,656
89.58,20.0,14,16.0,99,4.53,656
95.58,20.0,15,16.0,99,4.53,656
101.58,20.0,16,16.0,99,4.54,656
107.59,19.9,17,16.0,99,4.55,656
113.58,19.9,18,16.0,99,4.45,656
119.58,19.8,19,16.0,99,4.45,656
125.58,19.8,20,16.0,99,4.35,656
131.58,19.7,21,16.0,99,4.36,656
137.58,19.8,22,16.0,99,4.25,656
143.58,19.7,23,16.0,99,4.37,656
149.57,19.7,24,16.0,99,4.27,656
155.57,19.7,25,16.0,99,4.28,656
161.57,19.6,26,16.0,99,4.28,656
167.57,19.6,27,16.0,99,4.18,656
173.57,19.6,28,16.0,99,4.19,656
179.57,19.5,29,16.0,99,4.19,656
185.56,19.5,30,16.0,99,4.09,656
191.56,19.5,31,16.0,99,4.1,656
197.56,19.5,32,16.0,99,4.1,656
203.56,19.5,33,16.0,99,4.11,656
209.56,19.4,34,16.0,99,4.12,656
215.57,19.4,35,16.0,99,4.01,656
221.55,19.4,36,16.0,99,4.02,656
227.55,19.4,37,16.0,99,4.03,656
233.55,19.4,38,16.0,99,4.03,656
239.55,19.4,39,16.0,99,4.04,656
245.55,19.3,40,16.0,99,4.05,656
251.55,19.3,41,16.0,96,3.94,2622
257.54,19.3,42,16.0,96,3.95,2622
263.54,19.3,43,16.0,96,3.96,2622
269.54,19.2,44,16.0,96,3.96,2622
275.54,19.2,45,16.0,93,3.86,4588
281.54,19.2,46,16.0,93,3.86,4588
287.54,19.2,47,16.0,93,3.87,4588
293.54,19.2,48,16.0,93,3.88,4588
299.54,19.2,49,16.0,93,3.88,4588
305.54,19.2,50,16.0,93,3.89,4588
311.54,19.1,51,16.0,93,3.9,4588
317.54,19.1,52,16.0,91,3.79,5899
323.54,19.1,53,16.0,91,3.8,5899
329.53,19.1,54,16.0,93,3.8,4588
335.53,19.1,55,16.0,93,3.81,4588
341.54,19.1,56,16.0,93,3.82,4588
347.53,19.1,57,16.0,93,3.82,4588
353.53,19.0,58,16.0,93,3.83,4588
359.53,19.0,59,16.0,91,3.72,5899
365.53,19.0,60,16.0,91,3.73,5899
371.53,19.0,61,16.0,91,3.73,5899
377.52,19.0,62,16.0,91,3.74,5899
