Tempo,Temperatura,Amostra,setpoint,duty,y_controller,pwm
1.8,18.5,0,14.0,99,5.14,656
7.8,18.5,1,30.0,20,-12.68,52428
13.8,18.5,2,30.0,20,-12.7,52428
19.8,18.6,3,28.5,20,-11.06,52428
25.8,18.7,4,28.0,20,-10.4,52428
31.8,18.7,5,24.5,20,-6.41,52428
37.8,18.7,6,30.0,20,-12.56,52428
45.06,18.7,7,20.0,20,-22.31,52428
51.06,18.8,8,20.0,20,-1.49,52428
57.06,18.7,9,20.0,20,-1.38,52428
63.06,18.8,10,20.0,20,-1.5,52428
69.06,18.8,11,20.0,20,-1.39,52428
75.06,18.8,12,20.0,20,-1.39,52428
81.06,18.8,13,20.0,20,-1.39,52428
87.06,18.8,14,20.0,20,-1.39,52428
93.06,18.8,15,20.0,20,-1.4,52428
99.06,18.9,16,20.0,20,-1.4,52428
