Tempo,Temperatura
3.2,22.0
7.25,22.1
11.3,22.0
15.34,22.1
19.39,22.0
23.43,22.0
27.48,22.1
31.53,22.0
35.57,22.0
39.62,21.9
43.67,21.8
47.72,21.7
51.77,21.6
55.82,21.5
59.87,21.4
63.92,21.3
67.97,21.1
72.02,21.0
76.07,20.8
80.12,20.6
84.17,20.4
88.22,20.3
92.27,20.0
96.33,19.8
100.38,19.7
104.43,19.5
108.48,19.4
112.53,19.2
116.59,19.1
120.64,18.9
124.69,18.8
128.74,18.6
132.8,18.4
136.85,18.2
140.9,18.1
144.96,18.0
149.01,17.8
153.06,17.7
157.12,17.5
161.17,17.4
165.23,17.2
169.28,17.1
173.33,16.9
177.39,16.8
181.44,16.7
185.49,16.6
189.55,16.5
193.6,16.4
197.65,16.3
201.7,16.1
205.75,16.0
209.81,15.9
213.86,15.8
217.91,15.8
221.96,15.7
226.02,15.5
230.07,15.4
234.12,15.4
238.17,15.2
242.22,15.2
246.28,15.1
250.33,15.1
254.38,15.0
258.43,14.9
262.48,14.8
266.54,14.8
270.59,14.7
274.64,14.7
278.69,14.7
282.74,14.6
286.79,14.5
290.84,14.5
294.89,14.5
298.94,14.5
302.99,14.4
307.05,14.3
311.1,14.3
315.15,14.3
319.2,14.2
323.25,14.2
327.3,14.2
331.35,14.1
335.4,14.1
339.45,14.1
343.5,14.1
347.55,14.0
351.6,14.0
355.65,13.9
359.71,13.9
363.76,13.9
367.81,13.9
371.86,13.8
375.91,13.8
379.96,13.8
384.01,13.8
388.06,13.8
392.11,13.7
396.16,13.7
400.21,13.7
404.26,13.7
408.31,13.7
412.36,13.7
416.41,13.6
420.46,13.7
424.51,13.7
428.57,13.6
432.62,13.6
436.67,13.6
440.72,13.6
444.76,13.6
448.81,13.6
452.86,13.5
456.91,13.5
460.96,13.5
465.01,13.5
469.06,13.5
473.11,13.5
477.16,13.5
481.21,13.5
485.27,13.4
489.32,13.4
493.37,13.4
497.42,13.4
501.47,13.4
505.52,13.4
509.57,13.4
513.62,13.4
517.67,13.3
521.72,13.4
525.78,13.3
529.83,13.3
533.88,13.3
537.93,13.3
541.97,13.3
546.02,13.3
550.07,13.3
554.12,13.3
558.17,13.3
562.22,13.3
566.28,13.2
570.33,13.3
574.38,13.2
578.43,13.2
582.48,13.2
586.53,13.2
590.58,13.2
594.63,13.2
598.68,13.2
602.73,13.2
606.78,13.2
610.83,13.2
614.88,13.2
618.93,13.2
622.98,13.2
627.03,13.2
631.08,13.2
635.13,13.2
639.18,13.2
643.23,13.2
647.28,13.2
651.33,13.2
655.38,13.2
659.43,13.1
663.48,13.1
667.53,13.1
671.58,13.2
675.64,13.2
679.69,13.2
683.74,13.1
687.79,13.1
691.84,13.1
695.89,13.2
699.94,13.1
703.99,13.1
708.04,13.2
712.1,13.1
716.15,13.1
720.2,13.1
724.25,13.1
728.3,13.1
732.35,13.1
736.4,13.1
740.45,13.1
744.5,13.1
748.55,13.1
752.6,13.1
756.65,13.1
760.7,13.1
764.75,13.1
768.8,13.1
772.85,13.1
776.9,13.1
780.95,13.1
785.0,13.1
789.05,13.1
793.1,13.1
797.15,13.1
801.2,13.1
805.25,13.1
809.3,13.1
813.35,13.1
817.4,13.1
821.45,13.1
825.5,13.1
829.55,13.1
833.61,13.1
837.65,13.1
841.7,13.0
845.76,13.1
849.81,13.1
853.86,13.1
857.91,13.1
861.96,13.1
866.01,13.2
870.07,13.2
874.12,13.1
878.17,13.1
882.22,13.1
886.27,13.1
890.32,13.1
894.37,13.1
898.42,13.1
902.47,13.1
906.52,13.1
910.57,13.1
914.62,13.1
918.67,13.1
922.72,13.1
926.77,13.2
930.82,13.1
934.87,13.1
938.92,13.1
942.98,13.1
947.03,13.1
951.08,13.1
955.13,13.1
959.18,13.1
963.23,13.1
967.28,13.1
971.33,13.1
975.38,13.0
979.44,13.1
983.49,13.1
987.54,13.1
991.59,13.1
995.64,13.1
999.69,13.1
1003.74,13.1
1007.79,13.1
1011.84,13.1
1015.89,13.1
1019.94,13.1
1023.99,13.2
1028.04,13.1
1032.09,13.1
1036.14,13.1
1040.19,13.2
1044.24,13.1
1048.29,13.2
1052.35,13.1
1056.4,13.1
1060.45,13.2
1064.5,13.2
1068.55,13.1
1072.6,13.2
1076.65,13.2
1080.7,13.1
1084.75,13.1
1088.81,13.2
1092.86,13.1
1096.91,13.1
1100.96,13.2
1105.01,13.2
1109.07,13.2
1113.12,13.2
1117.17,13.1
1121.22,13.2
1125.27,13.2
1129.32,13.2
1133.37,13.2
1137.42,13.2
1141.47,13.2
1145.52,13.1
1149.57,13.2
1153.63,13.2
1157.68,13.2
1161.73,13.1
1165.78,13.2
1169.84,13.2
1173.89,13.2
